2023-10-07 10:21:43.734603 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:22:22.468922 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:23:07.359116 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:23:52.656265 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:26:17.380849 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:26:56.684294 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:27:41.364442 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 10:28:19.240126 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 19:21:51.601189 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 19:22:17.444653 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 19:25:18.928044 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 19:25:36.477577 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

2023-10-07 19:25:39.903423 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows 'NoneType' object is not subscriptable
2023-10-07 19:26:48.445938 [ERROR]: There was an error in the SeleniumMethods.mapy() module, raw as follows Message: 

